日期,買入,賣出
2021/02/26,47813.00,48303.00
2021/02/25,49060.00,49550.00
2021/02/24,49682.00,50172.00
2021/02/23,50163.00,50653.00
2021/02/22,50232.00,50722.00
2021/02/20,49565.00,50055.00
2021/02/19,49565.00,50055.00
2021/02/18,49260.00,49750.00
2021/02/17,49446.00,49936.00
2021/02/09,51126.00,51616.00
2021/02/08,51173.00,51663.00
2021/02/05,50291.00,50781.00
2021/02/04,49869.00,50359.00
2021/02/03,51001.00,51491.00
2021/02/02,51079.00,51569.00
2021/02/01,51974.00,52464.00
2021/01/29,51811.00,52301.00
2021/01/28,51950.00,52440.00
2021/01/27,51430.00,51920.00
2021/01/26,51665.00,52155.00
2021/01/25,51671.00,52161.00
2021/01/22,51663.00,52153.00
2021/01/21,51960.00,52450.00
2021/01/20,52042.00,52532.00
2021/01/19,51103.00,51593.00
2021/01/18,51133.00,51623.00
2021/01/15,51035.00,51525.00
2021/01/14,51311.00,51801.00
2021/01/13,51749.00,52239.00
2021/01/12,51405.00,51895.00
2021/01/11,51563.00,52053.00
2021/01/08,51867.00,52357.00
2021/01/07,53297.00,53787.00
2021/01/06,53733.00,54223.00
2021/01/05,54097.00,54587.00
2021/01/04,54055.00,54545.00
2020/12/31,53012.00,53502.00
2020/12/30,52733.00,53223.00
2020/12/29,52525.00,53015.00
2020/12/28,52932.00,53422.00
2020/12/25,52538.00,53028.00
2020/12/24,52572.00,53062.00
2020/12/23,52452.00,52942.00
2020/12/22,52473.00,52963.00
2020/12/21,52717.00,53207.00
2020/12/18,52786.00,53276.00
2020/12/17,52956.00,53446.00
2020/12/16,51964.00,52454.00
2020/12/15,51883.00,52373.00
2020/12/14,51160.00,51650.00
2020/12/11,51755.00,52245.00
2020/12/10,51705.00,52195.00
2020/12/09,51697.00,52187.00
2020/12/08,52516.00,53006.00
2020/12/07,52354.00,52844.00
2020/12/04,51573.00,52063.00
2020/12/03,51950.00,52440.00
2020/12/02,51682.00,52172.00
2020/12/01,51308.00,51798.00
2020/11/30,50502.00,50992.00
2020/11/27,50576.00,51066.00
2020/11/26,51318.00,51808.00
2020/11/25,51418.00,51908.00
2020/11/24,51203.00,51693.00
2020/11/23,52159.00,52649.00
2020/11/20,53220.00,53710.00
2020/11/19,52809.00,53299.00
2020/11/18,53384.00,53874.00
2020/11/17,53602.00,54092.00
2020/11/16,53625.00,54115.00
2020/11/13,53689.00,54179.00
2020/11/12,53355.00,53845.00
2020/11/11,52850.00,53340.00
2020/11/10,53417.00,53907.00
2020/11/09,52969.00,53459.00
2020/11/06,55309.00,55799.00
2020/11/05,55149.00,55639.00
2020/11/04,54265.00,54755.00
2020/11/03,54284.00,54774.00
2020/11/02,53840.00,54330.00
2020/10/30,53563.00,54053.00
2020/10/29,53309.00,53799.00
2020/10/28,53444.00,53934.00
2020/10/27,54330.00,54820.00
2020/10/26,54255.00,54745.00
2020/10/23,54072.00,54562.00
2020/10/22,54192.00,54682.00
2020/10/21,54823.00,55313.00
2020/10/20,54552.00,55042.00
2020/10/19,54512.00,55002.00
2020/10/16,54412.00,54902.00
2020/10/15,54389.00,54879.00
2020/10/14,54583.00,55073.00
2020/10/13,53981.00,54471.00
2020/10/12,54744.00,55234.00
2020/10/08,54013.00,54503.00
2020/10/07,53929.00,54419.00
2020/10/06,54792.00,55282.00
2020/10/05,54988.00,55478.00
2020/09/30,54628.00,55118.00
2020/09/29,54652.00,55142.00
2020/09/28,54182.00,54672.00
2020/09/26,53957.00,54447.00
2020/09/25,54070.00,54560.00
2020/09/24,54394.00,54884.00
2020/09/23,54188.00,54678.00
2020/09/22,54977.00,55467.00
2020/09/21,54569.00,55059.00
2020/09/18,56464.00,56954.00
2020/09/17,56504.00,56994.00
2020/09/16,57128.00,57618.00
2020/09/15,56854.00,57344.00
2020/09/14,57067.00,57557.00
2020/09/11,56814.00,57304.00
2020/09/10,57086.00,57576.00
2020/09/09,56743.00,57233.00
2020/09/08,56185.00,56675.00
2020/09/07,56319.00,56809.00
2020/09/04,56188.00,56678.00
2020/09/03,56538.00,57028.00
2020/09/02,56653.00,57143.00
2020/09/01,57806.00,58296.00
2020/08/31,57607.00,58097.00
2020/08/28,57567.00,58057.00
2020/08/27,56132.00,56622.00
2020/08/26,56833.00,57323.00
2020/08/25,56099.00,56589.00
2020/08/24,56564.00,57054.00
2020/08/21,56664.00,57154.00
2020/08/20,56924.00,57414.00
2020/08/19,57301.00,57791.00
2020/08/18,58373.00,58863.00
2020/08/17,58106.00,58596.00
2020/08/14,56871.00,57361.00
2020/08/13,57010.00,57500.00
2020/08/12,56811.00,57301.00
2020/08/11,57021.00,57511.00
2020/08/10,59488.00,59978.00
2020/08/07,59330.00,59820.00
2020/08/06,60013.00,60503.00
2020/08/05,59866.00,60356.00
2020/08/04,58385.00,58875.00
2020/08/03,57718.00,58208.00
2020/07/31,57510.00,58000.00
2020/07/30,56817.00,57307.00
2020/07/29,57076.00,57566.00
2020/07/28,56952.00,57442.00
2020/07/27,56665.00,57155.00
2020/07/24,55744.00,56234.00
